id,name,latitude,longitude,db_id,connection_count,ic_connection_count,ic_connection_count_int,connections_avg,connections_wavg,sizes_default,sizes_weighted
317,Ambérieu,45.954008,5.342388,8700045,51,0,0
322,Auxon Église,48.092235,3.923863,8702734,0,0,0
328,Aigues-Mortes,43.5709008,4.1912102,8702626,9,0,0
343,Andelot,46.8594671,5.923584,8700155,19,0,0
345,Angers Maître École,47.4670899,-0.531894,8700610,20,0,0
347,Angoulême,45.653572,0.164608,8700063,63,17,17
355,Martigny-les-Gerbonvaux,48.4500000000,5.8000000000,8701538,0,0,0
356,Autreville,48.4833330000,5.8500000000,8700640,0,0,0
359,Hestroff,49.2666670000,6.4333330000,8701286,0,0,0
360,Vaudreching,49.284483,6.523714,8702157,0,0,0
361,Alzing,49.2833330000,6.5500000000,8700606,0,0,0
365,Montigny-sur-Chiers,49.4833330000,5.6666670000,8705471,0,0,0
366,Lexy,49.5000000000,5.7333330000,8703796,0,0,0
372,Hertzing,48.6833330000,6.9500000000,8701287,0,0,0
373,Bébing,48.7000000000,7.0000000000,8700669,0,0,0
377,Aiguillon,44.2987224,0.3352388,8702627,10,0,0
379,Bouilly,48.2000000000,4.0000000000,8700727,0,0,0
380,Chamoy,48.1166670000,3.9666670000,8700990,0,0,0
381,Jeugny,48.128443,4.039581,8701319,0,0,0
382,Montigny-les-Monts,48.1000000000,3.9500000000,8704039,0,0,0
384,St-Jean-de-Bonneval,48.1666670000,4.0500000000,8701921,0,0,0
386,Villery,48.165524,4.023086,8702253,0,0,0
387,Neuvy-Sautour RN,48.0333330000,3.8000000000,8701697,0,0,0
389,St-Lyé,48.3666670000,4.0000000000,8701473,0,0,0
390,Payns,48.3833330000,3.9666670000,8701737,0,0,0
391,Savières,48.4166670000,3.9500000000,8702072,0,0,0
392,St-Mesmin,48.4500000000,3.9333330000,8702003,0,0,0
393,Vallant-St-Georges,48.466168,3.899331,8702226,0,0,0
394,Châtres,48.5000000000,3.8500000000,8700875,0,0,0
395,Maizières-La Grande-Paroisse,48.5166670000,3.7833330000,8701483,0,0,0
396,Romilly-sur-Seine,48.514433,3.728887,8700274,16,0,0
399,Marnay-sur-Seine,48.5166670000,3.5500000000,8701604,0,0,0
400,Nogent-sur-Seine,48.49783878,3.49372888,8701691,16,0,0
401,Aigueperse,46.0147884,3.1982621,8702625,18,0,0
402,Vendeuvre,48.2400686,4.4672135,8702199,17,0,0
403,Bar-sur-Aube,48.2385399,4.7066708,8700506,17,0,0
406,Foug,48.6792561,5.7912761,8701128,23,0,0
407,Fontenoy-sur-Moselle,48.711721,5.9803654,8701161,24,0,0
408,Liverdun,48.7493158,6.0617374,8701467,25,0,0
409,Champigneulles,48.73499,6.16913,8700335,33,0,0
410,Laneuveville-devant-Nancy,48.65564,6.22792,8701469,24,0,0
412,Arches,48.1198133,6.5283085,8700581,36,0,0
413,Varangéville—St-Nicolas,48.63533929,6.31286037,8702174,46,0,0
414,Dombasle-sur-Meurthe,48.623275,6.343478,8701003,34,0,0
415,Rosières-aux-Salines,48.605630,6.350457,8701838,33,0,0
416,Argelès-sur-Mer,42.543970,3.022349,8700487,39,0,0
421,Einvaux,48.5034859,6.3932959,8701098,26,0,0
422,Bayon,48.468046,6.322569,8700755,27,0,0
423,Argentan,48.738545,-0.025291,8700215,32,0,0
425,Arvant,45.3653797,3.3106747,8700089,57,2,0
428,Soulosse,48.40923,5.739127,8701993,0,0,0
430,Ascq,50.6218591,3.1598992,8700509,8,0,0
434,Auxerre-St-Gervais,47.797645,3.585140,8702732,33,0,0
435,Aspres-sur-Buëch,44.519428,5.7545655,8702471,10,0,0
436,St-Clément-Laronxe,48.5312283,6.6081108,8701935,13,0,0
437,Chenevières,48.5195062,6.6325613,8700851,13,0,0
438,Ménil-Flin,48.5050204,6.6592265,8701514,13,0,0
439,Azerailles,48.4913355,6.695778,8700656,13,0,0
440,Baccarat,48.452405,6.743830,8700455,13,0,0
441,Bertrichamps,48.4283359,6.7912343,8700679,13,0,0
442,Thiaville,48.4139874,6.8102635,8702084,13,0,0
443,Houdemont,48.645478,6.1797255,8701249,6,0,0
444,Ludres,48.6219545,6.1709118,8701458,6,0,0
445,Messein,48.6128788,6.1378364,8701512,6,0,0
446,Neuves-Maisons,48.6147666,6.1078904,8701681,6,0,0
447,Pont-St-Vincent,48.6023732,6.1031502,8700367,6,0,0
448,Aixe-sur-Vienne,45.7965002,1.1456892,8702633,0,0,0
462,Blenod-les-Toul,48.6000000000,5.8333330000,8700736,0,0,0
463,Bulligny—Crézilles,48.576646,5.848966,8700702,0,0,0
